Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LFR.PrjPcb|ReportField=ProjectFullPath~C:\Users\Parsa\Desktop\Project\Line Follower Robot\PCB 2\LFR.PrjPcb|ReportField=Title~Bill of Materials For Project [LFR.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~05:22:43 ب.ظ|ReportField=ReportDate~01/11/2019|ReportField=ReportDateTime~01/11/2019 05:22:43 ب.ظ|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~19|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~01/11/2019|ReportField=CurrentTime~03:35:52 ب.ظ|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Parsa\Desktop\Project\Line Follower Robot\PCB 2\Main Schematic.SchDoc|ReportField=DocumentName~Main Schematic.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~01/11/2019|ReportField=Organization~|ReportField=ProjectName~LFR.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~LFR.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Parsa\Desktop\Project\Line Follower Robot\PCB 2\LFR.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Motor|Motor, General Kind|BL, BR|RB5-10.5|Motor|2
2|Cap|Capacitor|C1, C2, C3|RAD-0.3|Cap|3
3|L293D|Push-Pull Four Channel Driver With Diode|D|DIP16|L293D|1
4|ATmega16A-PU|8-bit AVR Microcontroller, 16KB Flash, 512 Bytes EEPROM, 1KB SRAM, 40-pin PDIP, Industrial Grade (-40°C to 85°C)|M|40P6|ATmega16A-PU|1
5|Header 4|Header, 4-Pin|Power Input|HDR1X4|Header 4|1
6|C945|NPN General Purpose Amplifier|QF, QL, QR|TO-92A|2N3904|3
7|Res1|Resistor|R1, RF, RL, RR|AXIAL-0.3|Res1|4
8|L7805CV|Positive Voltage Regulator|Regulator|TO220ABN|L7805CV|1
9|SW-PB|Switch|S1|SPST-2|SW-PB|1
10|Header 5|Header, 5-Pin|Sensor Board|HDR1X5|Header 5|1
11|XTAL|Crystal Oscillator|XTAL|R38|XTAL|1
